country,region,source,data_type,estimate_type,date,median_R_mean,median_R_highHPD,median_R_lowHPD,countryIso3
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-07-11,1.082304602088552,1.1692469857362005,0.9953622184409038,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-07-12,1.1081573334618882,1.19421994353717,1.0220947233866062,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-07-13,1.127819316126036,1.2129672351497671,1.0426713971023047,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-07-14,1.1409474195002012,1.2256265415697725,1.0572213723772055,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-07-15,1.149229097827624,1.2331652728593678,1.0669195964324278,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-07-16,1.1532793451718317,1.2362034993966222,1.0729959625004242,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-07-17,1.1514881745390684,1.2331328491716496,1.0726028310986073,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-07-18,1.1412042362342607,1.2212590701787724,1.0634534549185677,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-07-19,1.1227836761819596,1.2027651330955869,1.0428022192683324,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-07-20,1.10045746926716,1.1831270954056015,1.0177878431287186,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-07-21,1.0837128920607464,1.1679292548801212,0.9994965292413716,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-07-22,1.0808968532001282,1.1645776077913805,0.9972160986088758,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-07-23,1.0940196788530487,1.1741679721648326,1.0138713855412649,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-07-24,1.1169962020431576,1.1916059025303496,1.0423865015559657,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-07-25,1.139860176457232,1.2136797699902495,1.0683258830194355,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-07-26,1.15774636579506,1.2313167436328125,1.0864120869898322,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-07-27,1.1730679744422838,1.2461374545891852,1.102176720282026,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-07-28,1.191407562329211,1.263922039269013,1.1195546372384797,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-07-29,1.2126859053543546,1.288701731366843,1.1366700793418663,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-07-30,1.230945652764901,1.3093493313319133,1.1525419741978886,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-07-31,1.2388635376192527,1.3173629182817057,1.1603641569567997,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-08-01,1.2336426728057148,1.3114301066323426,1.155855238979087,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-08-02,1.2172155837290521,1.2937441320478253,1.140687035410279,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-08-03,1.194339274912094,1.2703675812811928,1.1183109685429953,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-08-04,1.1762847682061046,1.255082977194322,1.0974865592178873,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-08-05,1.17539055118844,1.2588298877875435,1.0919512145893364,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-08-06,1.198037110398767,1.2846803084101701,1.111393912387364,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-08-07,1.2398409351269635,1.328842410299736,1.150839459954191,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-08-08,1.2893047403881925,1.3814796665825215,1.1971298141938636,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-08-09,1.3400651177305236,1.434523870244631,1.2456063652164162,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-08-10,1.3930441902326798,1.4886704726401074,1.2974179078252521,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-08-11,1.4482884540065868,1.5461063464140246,1.350470561599149,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-08-12,1.4973096410175306,1.596710557584723,1.3979087244503383,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-08-13,1.5283887888003742,1.6251685787038639,1.4316089988968845,ITA
